Ground Truth,GCV,ED GCV,AWS,ED AWS,Azure,ED Azure,MP,ED MP
print (""The Year "" \( +\operatorname{str}( \) Year) + "" "" ""is a leap year."")
else:
\[
\text { print (""The Year ""+str (Year) }+ \text { "" "" "" is not a leap year."") }
\]
def ask_-fir_a_new - year_to_identify ():
white True:
print (' 1 )
ask = input (""Do you want to identify a new year? Yes/No:"") print ("" "")
if ask = = ""Yes "" or ask = = ""yes"":
identify - a - leap- year ()
elif ask \( == \) ""No"" or ask \( == \) ""no"" :
print (""Thank you. See you again!"")
break
elif ask ! = ""Yes or ask ! = ""yes"" a ask! = ""No"" or ask ! = ""no"":
print (""Wrong keyword. Please type the exact keyword."")
if .. name \( \ldots=="" \) main \( _{2}{ }^{\prime} \) :
main ()",401
"sum = 0
number = input()
for i in number:
    sum += int(i)
Print(sum)
","Sun =
S
number
imput ()
for i in number:
Sun + =
int(i)
Print (surm)
N",20,"sun 2 = $
number N Emput ()
for i in number:
sun + 11 int(i)
print (sum )",20,"Sun = D
number = input ()
for i in number :
Sun + = int (i)
Print (Sum)",16,"\[
\operatorname{sun}=\varnothing
\]
number = imput ()
for: in number:
\[
\text { sun }+=\operatorname{int}(i)
\]
print (sum)",69
"def factorial(n):
    if n <= 1:
        return 1
    else:
        return factorial(n - 1) * n
print(factorial(int(input())))
","def factoria 1 (n):
if n <= 1 :
Return 1
else:
Return factorial (n-1) *
Prist (fractional (int (amput())))
h",49,"def factoric / (n):
if h L=1 :
Return 1
else :
Return factorial (n-1) A h
Print (factorial (int (input() ))) )",49,"def factorial (n):
if n <= 1 ;
Return 1
else :
Return factorial (n-1) * h
Print (factorial (int (input ()))",42,"def factorial (n):
if \( n<1 \) :
Retunn 1
else:
Return factorial \( (n-1) * n \)
Print \( ( \) factarial \( (\operatorname{int}(\operatorname{imput}()))) \)",89
"year = int(input)
if year % 4 == 0 and year % 100 != 0 or year % 400 == 0:
    print(True)
else:
    print(False)
","Year = int (impot
if yeur 1/4 = = $ and year 1/144 != 0 on Year 1.400 ==&=
Print (true)
else:
print (False)",35,"year 2 int (input)
if I and year 1,144 1=0 on Year% 400==0:
Print (TRUE)
else :
print (False)",43,"Year = ent (input)
if year / n == 4 and year 0/ 100 /=/ or year / 400 == 0 ;
Print (true)
else :
Print (False )",30,"\[
\text { year }=\operatorname{int}(\text { impot })
\]
if Yearn \( \% \mu==\phi \) and year \( \% 1 \phi \phi !=\varnothing \) on Year \( \% 400==\phi \) :
Pine (true)
else:
print (False)",108
"Word = input()
Word = "" "".join([i for i in word[::-1]])
Print(Word)
","Word = imput()
word = """", join (I i for i in word [::
Print (word)",19,"word = imput()
ward = "" "" "" "" join (I i from i in word[-:-]]]
Print (word)",22,"Word = input ()
Word = """". join ([ "" for i in word [-]
Print (Word)",16,"\( \begin{array}{l}\text { Wond }=\operatorname{imput}() \\ \text { wand }="" \text { ""join }([i \text { for } i \text { in word }[\because-1]]) \\ \text { Print (wond) } \\\end{array} \)",134
"list1 = [1, 2, 3, 4]
list2 = [3, 4, 5, 6]
list3 = [i for i in list1 if i in list2]
print(list3)
","list 1 = [1, 2, 3, 4]
bist 2 = [3, 4, 5, 6]
in lista]
bist 3 = [i for i in list 1 if i in
Print (list 3)",27,"list 1 = $ (1,2,3,4)
list2=[3,4,5,6]
=
list 3= [i for i in list 1 if i in listz]
print(list3)",20,"list 1 = [ 1, 2, 3, 4]
bist 2 = [ 3,4,5,6]
list 3 = Ji par i in list 1 if i in listz]
Print (list 3)",20,"\( \begin{array}{l}\text { list } 1=[1,2,3,4] \\ \text { bist } 2=[3,4,5,6] \\ \text { fist } 3=[i \text { for } i \text { in list } 1 \text { if } i \text { in list }] \\ \operatorname{Pint}(\operatorname{list} 3)\end{array} \)",160
"list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [i for i in list1 if i % 2 == 0]
print(even)
","list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9]
even = [ è for i in lists if */2==4]
Print (even)",15,"list1 = (123456789)
even = [i for i in list1 if i%2==0]
Print (even)",27,"list 1 = [1, 2, 3, 4, 5, 6, 7, 8,9]
even = [è for i in list 1 if i|2=]
Print (even)",16,"\( \begin{array}{l}\text { list } 1=[1,2,3,4,5,6,7,8,9] \\ \text { even }=[i \text { for } i \text { in list } 1 \text { if } i \% 2==] \\ \text { Print (even) }\end{array} \)",116
"def main():
    year = int(input())
    if year % 4 == 0 and year % 100 != 0:
        print(""True"")
    elif year % 100 == 0 and year % 400 == 0:
        print(""True"")
    else:
        print(""False"")

if __name__ == ""__main__"":
    main()
","def main ():
year
= int (input())
if (year % 4 == 0 and year % 100 != 0):
print (""True"")
elif (year % 100 == 0 and year % 400 ==0):
print (""True"")
if
else:
print (""False"")
name__
main ()
!!
>>
_main__'",78,"def main ():
year = int (input())
if (year% 4==0 and year % 100 != 0):
print (""True"")
elif (year % 100 ==0 and year % 400 == 0):
print (""True"")
else:
print (""False"")
if -- name "" -- __main__"":
main()",68,"def main ():
year = int (input ()
if ( year % 4 == 0 and year % 100 ! = 0):
print (""True"")
elif (year % 100 == 0 and year % 400=0):
print (""True"")
else:
print (""False"")
if
__ name __== "" __ main_"".
main ()",71,"def main ():
\[
\text { year }=\operatorname{int}(\operatorname{input}())
\]
if (year \% \( 4==0 \) and year \( \% 100 !=0 \) ):
print (""True"")
elif (year \( \% 100==0 \) and year \( \% 400==0 \) ):
print (""True"")
else:
print (""False"")
if __name__ = = ""_main_."":
\( \operatorname{main}() \)",133
"from karel.stanfordkarel import *

def main():
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()
    step_up()
    build_column()

def build_column():
    turn_left()
    build_beeper()
    build_beeper()
    build_beeper()
    build_beeper()
    put_beeper()
    go_back()
    turn_left()

def build_beeper():
    put_beeper()
    move()

def go_back():
    turn_around()
    step_up()

def turn_around():
    turn_left()
    turn_left()

def step_up():
    move()
    move()
    move()
    move()

if __name__ == ""__main__"":
    main()
","from
def
def
karel. stanford kavel import
main ():
build_column ()
step- up ()
build column()
step-up ()
build- column ()
def
step-up()
build- column()
build
column ():
turn-left()
build- beeper ()
build- beeper ()
build_ beeper ()
build-beeper ()
put - beeper ()
go - back()
turn - left ()
det build - beeper ():
put- beeper ()
move ()
go-back ():
turn around ()
step-up ()
def turn around ():
turn - left()
turn
left()
def step-up():
move ()
move ()
move ()
move ()
if - name
main ()
==
main
*",225,"from karel. . stanford kavel import
def main () :
build - column ( )
step - up ()
build - column()
step - up()
build. column ()
step - up()
build - column (
def
build - column ()
turn - left ()
build- beeper ( )
build beeper ()
build - beeper ()
build. - beeper ()
put - beeper ()
go - back ()
turn - left ()
def
build - beeper ():
put - - beeper ( )
move ()
det
go - - back() :
turn around ()
-
step - up ()
def turn - around ()
turn - left ()
turn - left ()
def step - up' () :
move ()
move ()
move ()
move ()
if 1 name
1 main :
main ()",252,"from karel. stanford kavel import *
def main ():
build-column ( )
step -up ( )
build- column ()
Step -up ()
build- column ( )
Step -up ()
build - column ()
def
build - column ( ) :
turn - left ( )
build - beeper ()
build - beeper ( )
build - beeper ( )
build - beeper ( )
put - beeper ( )
go - back ()
turn- left ( )
def
build - beeper ( ) :
put - beeper ()
move ()
det
go - back ():
turn- around ( )
step -up ()
dex
turn- around () :
turn - left ()
turn - left ()
dex
step-up ():
move ()
move ( )
move ( )
move ( )
-
if - name _ == - main _:
main ( )",251,"from karel. Stanfordkavel import * def main ():
build_column ()
step - up ()
build - column ()
Step - up ()
build_column ()
Step - up ()
build - column()
def build - column ():
turn - left ()
build - beeper ()
build - beeper ()
build - beeper ()
buitd - beeper ()
put - beeper ()
go - back ()
turn - left ()
det build-beeper ():
put - beeper ()
move ()
det go-back ():
turn - around ()
step - up ()
dex turn - around () :
turn - left ()
turn - left()
def step-up ():
move ()
move ()
move ()
move ()
if _ name _ \( == \) 'main _ :
main ()",233
"def main():
    input_string = input('Input string: ')
    ret = """"
    for ch in input_string:
        ret = ret + ch.upper()
    print ret
if __name__ == '__main__':
    main()
","def main ():
if
input_ string = input ('Input string; ')
11 11
ret =
for ch in input-string
ret
print ret
71
= ret + ch. uppert)
name__ =
main ()
main
20 07203",78,"def main () :
input - string = input(' Input string ')
ret = 11 11
for ch in input - stiting
ret = ret + ch. upperl )
print ret
1
1
if
name
main
-
-
main
()",66,"def main () ;
input_ string = input ( Input string:')
ret = "" ""
for ch in input string
ref = ret + ch.upper()
print ref
if __ name __ =
1
1
- -
main
--
main ( )",57,"def main ():
\[
\begin{array}{l}
\text { input_string = input ('Input string! ') } \\
\text { ret }="" 11
\end{array}
\]
for ch in input.string
\[
\text { ret }=\text { ret }+ \text { ch. upperd) }
\]
print ret
if name \( \operatorname{main}( \) )",122
"from karel.stanfordkarel import *

def main():
    move_to_beeper()
    pick_beeper()
    turn_around()
    return_to_start()

def move_to_beeper():
    while front_is_clear():
        move
    turn_right()
    move()
    turn_left()
    move()

def turn_around():
    turn_left()
    turn_left()
","O
O
O
from Kare!. Stamford Karel impert
def main ():
mere to beeper ()
pick beeper ()
turn-around ()
return to_start()
def muere to beepet():
while front_is_clear ():
Move
turn_right()
more()
turu-left()
More()
det turn around ():
turn left ()
turn left ()",106,"from Karel. stanfordKarel import
def main ():
move to beeper ()
pick_beeper()
turu_around()
Return to-start()
def more to beeper() :
while front-is-clear ():
move
turn_right()
more(
turn-left()
more()
det turu around ();
turn_ left ()
turu left ()",93,"from Karel. StanfordKarel import
def main ():
move_to_beeper ()
pick-beeper ()
turn-around()
return_to_start ()
def more_to_ beeper () :
While front-is-clear ();
move
turn_Right ()
move ()
turn-left ()
move ()
def turu_around ():
tura_left ()
turn left ()",92,"from Karel. stanfordKarel import
def main ():
move to beeper ()
pick-beeper ()
turu_around ()
ceturn to_start()
def more to beeper ():
while frout_is_clear (1):
move
turn_right ()
more ()
turu-left()
morre()
def turu_around ():
turu left ()
turu left ()",96
"from karel.stanfordkarel import *

def main():
    while front_is_clear():
        fill_tower()

def fill_tower():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
    column_return()

def column_return():
    while front_is_blocked():
        turn_around()
    while front_is_clear():
        move()
    next_tower()

def turn_around():
    for i in range(2):
        turn_left()

def next_tower():
    if right_is_clear():
        turn_right()
        move()
        turn_right()
    else:
        turn_around()
        while front_is_clear():
            move()

def turn_right():
    for i in range(3):
        turn_left()

if __name__ == ""__main__"":
    main()
","from kanel.stanfordkarel import
def main ():
while front_is_ clear():
bill tower ()
def fill_tower ():
-
while front_is_ clear ():
put-beeper ()
move()
put_beeper()
column_return ()
def column_return ():
if
def turn around ():
while front_is_blocked ():
turn-around()
while front_is_ clear():
move ()
next-tower()
-
def next tower ():
if right_is_dean ():
turn_right()
move()
turn_right()
for i in range (2):
turn_left()
—
else:
turn around ()
while front_is_dear():
def turn_right():
-
move()
-
name
main ()
for i in range (3):
turn_left()
_main_':",323,"from karel. stanfordkard import
def main ()
while front. is clear () :
fill_tower()
def fill tower () :
while front - is - clean ():
put - beeper ()
move ()
put_beeper()
column_return() -
def columm_return(): -
while front_is_blocked() :
turn-around()
while front_is_clear()
move()
next_tower()
def turn around()
for i in range (2) :
turn-left()
def next tower() :
if right is-clean - ( ) :
turn -right()
move ()
turn_right()
else :
turn around()
while front_is_dear():
move()
def turn - right ():
for i in range (3) :
turn_left(c)
if - name == I main I :
main ()",238,"from kanel stanfordkard import *
det main () :
while front_is_clear ():
bill_tower ( )
det fill-tower ():
while front-is-clean ():
put-beeper ()
move ()
put_beeper ()
column_return ()
def column_return ():
while front_ is_blocked ():
turn-around ()
while front_is_clear () :
move ( )
next_tower ()
det turn-around ():
for i in range (2) :
turn-left ( )
det next_tower ():
if right_is_clean ():
turn-right ( )
move()
turn-right ()
else :
turn-around ()
while front-is-clear ():
move( )
def turn-right ():
for i in range (3):
turn_left ()
if
- name _
== '_ main
1
..
main ()",243,"from karel.stanfordkarel import *
def main ():
while front_is_dear () :
fill_tower ()
def fill_tower ():
while front_is_dear ():
put-beeper ()
move ()
put_beeper ()
column_return ()
def colurn-return () :
while front_is_blocked ( ):
turn-around ()
while front_is_clear () :
move ()
next_tower ()
def turn_around () :
for \( i \) in range (2):
turn-left ()
def next_tower ( ) :
if right_is_dear ( ):
turn_right ()
move ()
turn_right ()
else:
turn_around( )
while front_is_dear ():
move ()
def turn_right () :
for \( i \) in range (3):
turn_left ()
if _ name \( ==1 \) _ main _ '
main ()",245
"def filter_string_a(string):
      string.sort()
      filtered_string_list = [ ]
      for str in string:
             if str.startswith(""a""):
                    filtered_string_list.append(str)
       return filtered_string_list
input_string = [""apple"", ""banana"", ""avacado"", ""cherry"", ""apricot""]
output = filter_string_a(input_string)
print(output)
","der fitters string - a (string);
sont ()
string.
filtered_string_list = [3
toru
1
in
string:
stru. start with (""a"");
stru
filtreried_rodring-lirt: append
returen filtered_string-lit
(stru)
imput_string = [""apple"", ""bunana"", ""avacad""
""cheveny"", ""apriest""""]
output = filtern-string- a (imput_string)
print (output)",131,"def - a (string):
string. sort ()
filtered -string-list = -[I
for stru in string :
if stru startswith (""a""):
append (str))
return
input_ string z [ apple"" ""bunana"", ""avacado)
""chevry"", ""apricot""]
output fifter z string a (input-ntuing)
print (output)",151,"det filter-string-a (string) :
string. sort ()
filtered- string-list = []
foru stre in strung :
if stru. startswith (""a""):
filtered-string-lint: append
( stru)
returen filtered-string- list
input_string = \""apple"", ""bunana"", ""avacado
""cheving "" ""apricot""]
Output = filter-string-a (input_string)
print (output)",104,"def filteru-string-a (ntring):
string. sont ()
filtered-string_list \( =[] \)
for stre in atring:
if stru. Ptark with (""an):
fiterced-atring-lint. append (stru)
return filtered-rtring-lirst
imput_rting \( z \) ""apple"", ""bunana"", ""avacado"" ""cherry"" ""apricot"" pring (output)",146
"def main():
  while front_is_clear():
      move()
  if front_is_blocked():
      turn_around()
  move()
  turn_left()
  move()
  pick_beeper()
  turn_left()
  turn_left()
  while front_is_clear():
      move()
  if front_is_blocked():
      turn_around()
  move()
  turn_around()

def turn_around():
    for i in range(3)
        turn_left ()
","def main:
While front_is_clear();
move()
if front_is_blocked ().
turn-around ()
move ()
turn_left()
move ()
pick_beeper ()
turn - left().
turn_left()
while front is clear ():
Move ()
if front_is_ blocked ():
turn around ().
move()
turn
around ()
def turn around ():
turn- lieft
Left
for i in range (3)
()",117,"def main :
While front is clearc):
move
if front _is_blocked ():
turn_around ()
move ( )
turn_left ()
move ()
pick- beeper()
turn - left )
turn - left()
while front is clear ( ):
move ( )
if front is - blocked ()
turn- around ()
movel )
turn around ()
def turn-around ():
for i in range (3)
life ( )",120,"def main :
While front-is-clear():
move ( )
if front_is_blocked ().
turn-around ()
move ()
turn_left ( )
move ()
pick-beeper ()
turn- left ()
turn-left ()
while front_is_clear ()!
move ( )
if front_is _ blocked ( ).
turn - around ( )
move ()
turn around ()
def turn-around ():
for i in range (3)
left ()",112,"def main:
While front_is_clearc):
move ()
if front-is-blocked ():
tuin-around()
move ()
turn-left ()
move ()
pick-beeperc)
tuin-left()
tuin-left()
while front_is clear ():
move ()
if front-is-blocked ():
turn-around ()
move()
turn around ()
def turn-around ():
for in range (3)",114
"def is_leap_year(year):
    if year % 4 == 0:
        if year % 100 == 0:
            if year % 400 == 0:
                return True
            else:
                return False
        else:
            return False
    else:
        return False

def main():
    year = int(input(""Enter a year: ""))
    is_leap = is_leap_year(year)
    print(is_leap)

if __name__ == ""__main__"":
    main()
","-def is_leap-year (year);
if year % 4= = 0!
is yeare °6 100 = = 0:
1 year 1.400.
if
return. Trive
0:
ebbe:
return false
else:
else:
return false
return false
def main ():
yeare = int Cinput (""Enter a year: ""))
is_ leap - is_ leap year (year)
print (is-leap)
if name_
maino
==
11
main"":",185,"def is - leap-year (year):
if year % 4 == O:
if year % 100 = O:
if year % 400 = = O:
return True
else:
return False
else:
return False
else:
return False
def main ():
year = int (input (""Enter a year: ""))
is- leap = is_ 1 eap-year (year)
print (is_ leap)
if 1 name = -"" main
"":
if
main()",153,"def is-leap year (year):
if years % 4 == 0'
if year % 100= = 0:
year % 400 = = 0:
return True
else:
return False
else:
return False
else:
return False
def main ().
year = int (input (""Enter a year: "")
is- leap= is-leap- year (years)
print (is-leap)
if
name_ = ""_main_"":
main()",154,"def is-leap-year (year):
if yeare \( \% 4==0 \) :
if year \( \% 100=0 \) :
if year \( \% 400==0 \) :
return. True
else:
return False
else:
retur false
else:
ruturn False
def \( \operatorname{main}() \) :
yearc = int (input (""Enter a year: ""))
is teap = is leap-year (year)
print (is_leap)
if \( \operatorname{mame}_{-}=="" \) main "":
main()",202
"def main():
    print("" problem - 5 "")
    print(""-----------------"")
    numb = int(input(""write an  number: ""))
    mak_list = [int(x) for x in str(numb)]
    add_numb = 0
    for i in mak_list:
        add_numb += i
    print(""Sum of the number's digit: "", add_numb)

if __name__ == ""__main__"":
    main()
","def main ():
print (""problem - 5
---"")
print (""---
numb = int (input (write an integer number:
mak_list = [int (x) for x in sts (numb)]
add-numb = 0
fon is in mak_list:
-5 "")
add_numb + = i
print (""Sum of the numbers:
digit
if_name__
main()
=
u
main__""
11
')
add_numb)",126,"def main() :
print ("" ""problem -5 "")
"")
numb = int (input (write an integer number: ')
print (""
mak list = [ int (x) for x in str (numb)]
add-numb = 0
for is in mak_list :
add-numb + = i
print (""sum of the number's: "", add-numb)
digit
if name = = ""_ main__""
main()",116,"def main () :
print (""problem - 5 "")
print (""-
rumb = int (input ('write an integer number:
mak_list = [int (x) for x in str (numb)]
add-numb = 0
for is in mak-list :
add-numb +=i
print (""Sum of the number's:
"", add_numb)
digit
if_ name __ = =
-- main __:
main()",109,"def main ():
print (""problem - 5 "")
print (""............"")
numb = int (input ('write an integer number: ')
mak_list \( =[ \) int \( (x) \) for \( x \) in rtr (numb) \( ] \)
add-numb \( =0 \)
fon is in mak-list:
add_numb \( +=i \)
print (""Sum of the numbers: "", \( a d d \)-numb)
If _ name _ \( == \) ""- main_.""
main()",142
"list = [6, 14, 5, 8, 9]
for elem in list:
    max = 0
    if elem > max:
        max = elem
return max
","list = [6, 14, 5, 8, 9]
for elem in list :
max = 0.
if elem > max :
De
max = elem
return max",20,"list = [6, H, 5,8, 9]
for elem in list :
max =0
if elem > max Der
:
max = elem
return max",23,"list = [6, 11,5,8,9]
for elem in list:
max=0
if elem> max :
max = elem
return max",25,"\[
\text { list }=[6,14,5,8,9]
\]
for elem in list:
\[
\max =0
\]
\[
\begin{array}{l} 
\text { if elem }>\max : \\
\max =\text { elem }
\end{array}
\]
return max",89
"def palindromic(str):
    for i in range(int(len(str) / 2)):
        if str[i] != str[len(str) - i]:
            return False
    return True
","def palindromic (sta):
for i in range (int (len (str)/2)):
if str[i] != str [len (str)-i]:.
return False
return True",41,"def palindromic (str)):
for i in range (int (len (str) 12)):
if str [i] ! = str [len (str)-i]:- -
return False
return True",42,"def palindromic (stro):
for i in range (int (len(str)/2)):
if stro [i] ! = str [len(stn) -i] :
return False
return True",42,"def palindromic (str):
for \( i \) in range \( ( \) int \( (\operatorname{len}( \) stro \( ) / 2)) \) :
if \( s+r[i] !=\operatorname{str}[\operatorname{len}(s \operatorname{st})-i]: \)
return False
return True",117
"def factorial(n):
    result = n * factorial(n - 1)
    return result
","def factorial (n):
result = n* factorial (n-1)
return sesut result",20,"def factorial (h):
result = n
factorial (n-1) -
return result result",23,"def factorial (n):
result = n * factorial (n-1)
return result",13,"def factorial \( (n) \) :
\[
\text { result }=n * \text { factorial }(n-1)
\]
return result",36
"def fibonacci(n):
    sequence = [0, 1]
    i = 0
    while len(sequence) <= n:
        sequence.append(sequence[i + 1] + sequence[i + 2])
        i += 1
    return sequence
result = fibonacci(5)
print(result)
","def fibonacci (n):
sequence = [0,1]
1 = 0
while len (sequence) <=n:
sequence. append (sequence [i+1] + sequence [i+2])
i+=1
return sequence
result = fibonacci (5)
print (result)",50,"def fibonacci (n):
sequence = [0,1]
1=0
while len (sequence) <=n:
sequence. append (sequence [i+1] + sequence [i+2])
it=1
return sequence
result = fibonacci (5)
print (result)",53,"def fibonacci (n):
sequence = [0,1]
1 = 0
while len (sequence> <= n:
sequence. append (sequence [+]+ sequence [i+2]
it = 1
return sequence
result = fibonacci (5)
print (result)",54,"def fibmacci \( (n) \) :
sequence \( =[0,1] \)
\[
i=0
\]
while len (sequence) \( <=n \) :
sequence. append (sequence \( [i+1]+ \) sequence \( [i+2]) \) \( i+=1 \)
return sequence
result = fibonaeci (5)
print (result)",73
"def CountFrequency(my_list):
    freq = {}
    for item in my_list:
        freq[item] += 1
    return freq
","def Count Frequency (my-list):
freq = { } !!
for item in my-list:
freq [item] + = 1
return freq",28,"def Count Frequency (my-list):
freq = { }
for item in my-list :
freq [item] += 1
return freq",28,"def CountFrequency (my-list):
freq = { }
for item in my-list:
freq [item]+=1
return freq",28,"def Count Frequency (my-list):
\[
\text { freq }=\{\}
\]
for item in my-list:
\[
\text { freg [item] }+=1
\]
return freq",38
"def twoSum(nums, target):
    for i in range(len(nums)):
        for p in range(i, len(nums)):
            if nums[i] + nums[p] == target:
                return [i, p]
","def two Sam (nams, tanget):
Son i
for
in pange (len (nama)) :
Pin
Pange (i, Lon(namp))!
if (nams [i] + nump [P] == tanget)!
petanu [1, p]",84,"def two Sam(nams, tanget):
for i in range(dev (nams)) :
for P in range(i) (an(nams)):
if(names [i] -namp[p] == tanget):
retann [i, p]",67,"def two Sam (nams, target):
for i in range (len (nams) :
for p in range (i) Lan (namp):
if (names [i] + numa[P] == fanget):
Detunn [i, P]",69,"def two Sam (nams, tanget): for: in pange (len (nams)):
for \( p \) in pange \( (i) \operatorname{len}( \) nams \( )) \) :
\[
\text { if (naws }[i]+\operatorname{nams}[p]==\text { tanget }) \text { ! }
\]
\( \operatorname{retanx}[i, P] \)",139
"def Remove(duplicate):
	for num in duplicate:
	final_list = []
	if num not in final_list:
		final_list.append(num)
	return final_list
","des Remove (duplicate):
Son nam in duplicate:
Simal - Lint = []
if
not in final-lint:
Sinal - lint- append (num)
pefunn final-lint
Mum",41,"def Removeldaplicate):
for nam in daplicats:
Sival-Lint = []
if nvm not in final-lint:
Sinal_lint.append (num)
return final-lint",25,"des Remove (duplicate):
for wam in duplicate:
Sinal-Lint = []
if num not in final-list :
final-lint. append(num)
return final-lint",22,"def Remove(daplicate):
for nam in daplicate:
final-Lint \( =[] \)
if num not in final-lint:
final_lint append (num)
refunu final-lint",29
"def even_or_odd(number):
    if number / 2 == 0:
        return ""Even""
    if number / 2 != 0:
        return ""Odd""
","def even on-odd (number):
if numben / 2 == 0:
petann ""Even""
if numbers 12 !=0%
return ""Old""",39,"def even on-odd(number):
if number 12==0:
retann ""Even""
if number 12 !=0:
return ""odd""",38,"det even-or-odd (number):
if number /2=0:
Detann ""Even""
if number 12 != 0:
retain ""Odd""",40,"Lef even-or-odd(namber):
if numben \( / 2==0 \) :
retann ""Even""
if number \( 12 !=0 \) : retarn ""Odd"".",41
"def upper_lower_count(str):
    upper_case = 0
    lower_case = 0
    for char in str:
        if char.isupper():
            upper_case += 1
        else:
            lower_case += 1
    return upper_case, lower_case
","def
uppen - lower_count (nto):
Upper- cape =
= 0
lower - Cape = 0
for chap in ptp:
is chan, inupper():
upper-cane + = 1
elpe:
lower-case + =
= 1
peturn upper-care, lower cape",94,"daf -
Upper- case = 0
lower - case = 0
for char in str:
if char, inupperu: /
upper-cane += 1
else:
lower-case. += 1
return upper - cape, lowercape",102,"daf
upper-lower-count (sto):
Upper-case = 0
lower-case = 0
for char in str.
if chan, inupper():
upper-case +=1
elpe:
lower-case += 1
return upper-care, lowercase",78,"def upper-lower-count(ntr):
\[
\begin{array}{l}
\text { Upper-case }=0 \\
\text { lower-case }=0
\end{array}
\]
for char in str:
if char. isupper:
\[
\text { upper-case }+=1
\]
elre:
\[
\text { lower-case }+=1
\]
return upper-care, lowercase",113
"def multiply(numbers):
    total = 0
    for x in numbers:
        total *= x
    return total
","def multiply (numboon);
total = 0
for je in numberni
total ** = se
peturn total
moppen:
Mape
lowen cone",55,"def multiply (numbers):
total = 0
for xc in numbern:
total *= re
return total
mopper",31,"det multiply (numbers);
total= 0
for se in numbers:
total * = Je
return total
Tony Upper case. la",47,"def maltiply (numbons):
total \( =0 \)
for \( x \) in nambern!
total \( *=x \)
return total",41