Data Id,Ground Truth,Azure Double Prompting,Change Category Double Prompting,Azure LM Low,Change Category Low,Azure LM Medium,Change Category Medium,Azure LM High,Change Category High,Code Type,,,,Categories:,,,,,,,,
0,"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
return Ans
","num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
return Ans
",No Change,"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
print(Ans)
",Small Syntax Fix,"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
print(Ans)
",Small Syntax Fix,"num = int(input(""Enter a number: ""))
Ans = 1
while num > 1:
    Ans *= num
    num -= 1
print(Ans)
",Small Syntax Fix,Console,,,Total,No Change,Small Change in the Comment,Missed Something From Ground Truth,Print Statement Change,Added code that was not present,Small Variable/Function Name Change,Small Change in the Indentation,Small Syntax Fix,Logical Fix
1,"from karel.stanfordkarel import *
# This program makes Karel pick up a beeper and go back into her house.

def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()
# This function moves Karel to the beeper.

def move_beeper():
    for i in range(2):
        move()
    turn_right()
    move()
    turn_left()
    move()
# This function return to Karel's starting point.

def go_back():
    for i in range(2):
        turn_left()
    for i in range(3):
        move()
    turn_right()
    move()
    turn_right()

def turn_right():
    for i in range(3):
        turn_left

if __name__ == ""__main__"":
    main()
","from karel.stanfordkarel import *
# This program makes Karel pick up
# a beeper and go back into her house.

def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()
# This function moves karel to the beeper.

def move_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()
# this function return to Karel's starting point

def go_back():
    for i in range(2):
        turn_left()
        for i in range(3):
            move()
        turn_right()
        move()
        turn_right()

def turn_right():
    for i in range(3):
        turn_left()
if __name__ == '__main__':
    main()
",Small Change in the Indentation,"from karel.stanfordkarel import *

# This program makes Karel pick up
# a beeper and go back into her house.
def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves karel to the beeper.
def move_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()


# this function return to Karel's starting point
def go_back():
    for i in range(2):
        turn_left()
        for i in range(3):
            move()
        turn_right()
        move()
        turn_right()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",Small Change in the Indentation,"from karel.stanfordkarel import *

# This program makes Karel pick up
# a beeper and go back into her house.
def main():
    # Move to the beeper.
    move_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves karel to the beeper.
def move_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()


# this function return to Karel's starting point
def go_back():
    for i in range(2):
        turn_left()
        for i in range(3):
            move()
        turn_right()
        move()
        turn_right()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",Small Change in the Indentation,"from karel.stanfordkarel import *

# This program makes Karel pick up a beeper and go back into her house.
def main():
    # Move to the beeper.
    move_to_beeper()
    # Pick the beeper up.
    pick_beeper()
    # Return to Karel's starting point.
    go_back()


# This function moves Karel to the beeper.
def move_to_beeper():
    for i in range(2):
        move()
        turn_right()
        move()
        turn_left()
        move()


# This function returns to Karel's starting point.
def go_back():
    for i in range(2):
        turn_left()
        for i in range(3):
            move()
        turn_right()
        move()
        turn_right()


def turn_right():
    for i in range(3):
        turn_left()


if __name__ == ""__main__"":
    main()
",Small Change in the Indentation,Karel,,,,,,,,,,,,
2,"def main():
    # input
    my_word = input(""Enter the original word: "")
    # function calling
    reversed_word = reverse(my_word)
    print(""The reversed word is"" + "" "" + '""' + reversed_word + '""')
# Helper function

def reverse(word):
    # reversed_word
    new_word = """"
    # char by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word

if __name__ == ""__main__"":
    main()
","def main ( ) :
    my_word = input( ""Enter The original word : "" )
    #Function calling
    reversed_word = reverse (my_word )
    print ( ""the reversed word is "" + reversed_word)
# Helper Function

def reverse(word) :
    # reversed word
    new_word = """"
    # char by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word

if __name__ == ""__main__"":
    main ()
",Small Change in the Comment,"def main():
    my_word = input(""Enter the original word: "")
    # Function calling
    reversed_word = reverse(my_word)
    print(""The reversed word is: "" + reversed_word)


# Helper Function
def reverse(word):
    # reversed - word
    new_word = """"
    # A char by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    my_word = input(""Enter the original word: "")
    # Function calling
    reversed_word = reverse(my_word)
    print(""The reversed word is: "" + reversed_word)


# Helper Function
def reverse(word):
    # reversed - word
    new_word = """"
    # A char by char
    for char in word:
        new_word = char + new_word
    # return
    return new_word


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    my_word = input(""Enter The original word: "")
    # Function calling
    def reverse(word):
        # reversed - word
        new_word = """"
        # A char by char
        for char in word:
            new_word = char + new_word
        # return
        return new_word

    reversed_word = reverse(my_word)
    print(""The reversed word is: "" + reversed_word)


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
3,"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial for "" + str(input_nmb) + "" is "" + str(result))
","input_number = int(input(""Enter number""))
val = input_number
result = input_number
while (val > 1):
    val = val - 1
    result = result & val
print('factorial of ' + str(input_number) + ' is ' + str(result))
",No Change,"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial of "" + str(input_number) + "" is "" + str(result))
",No Change,"input_number = int(input(""Enter number""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial of "" + str(input_number) + "" is "" + str(result))
",No Change,"input_number = int(input(""Enter number: ""))
val = input_number
result = input_number
while val > 1:
    val = val - 1
    result = result * val
print(""factorial of "" + str(input_number) + "" is "" + str(result))
",No Change,Console,,,,,,,,,,,,
4,"def main():
    num = input(""input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
","def main():
    num = input(""Input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
",No Change,"def main():
    num = input(""Input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
",No Change,"def main():
    num = input(""Input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
",No Change,"def main():
    num = input(""Input: "")
    sum = 0
    for n in num:
        sum += int(n)
    print(sum)
",No Change,Console,,,,,,,,,,,,
5,"def main():
    num = input(""enter the number you want to add"")
    sum = 0
    for i in str(num):
        sum = sum + int(i)
    print(""sum of the value you entered is"", sum)
","def main():
    num = input(""enter the number you want to add"")
    Sum=0
    for i in str(num):
        Sum = Sum+ int(i)
    print(""sum of the value you entered is"", Sum)
",No Change,"def main():
    num = input(""enter the number you want to add: "")
    Sum = 0
    for i in str(num):
        Sum = Sum + int(i)
    print(""sum of the values you entered is"", Sum)
",No Change,"def main():
    num = input(""enter the number you want to add: "")
    Sum = 0
    for i in str(num):
        Sum = Sum + int(i)
    print(""sum of the value you entered is"", Sum)
    return
",No Change,"def main():
    num = input(""Enter the number you want to add: "")
    Sum = 0
    for i in str(num):
        Sum = Sum + int(i)
    print(""Sum of the values you entered is: "", Sum)
",No Change,Console,,,,,,,,,,,,
6,"user_input = input(""Write your string here: "")
upper = user_input.upper()
print(upper)
","user_input = input(""write your string here: "")
Upper = user_input. upper()
print (Upper)
",Small Variable/Function Name Change,"user_input = input(""write your string here: "")
Upper = user_input.upper()
print(Upper)
",Small Variable/Function Name Change,"user_input = input(""write your string here: "")
Upper = user_input.upper()
print(Upper)
",Small Variable/Function Name Change,"user_input = input(""write your string here: "")
Upper = user_input.upper()
print(Upper)
",Small Variable/Function Name Change,Console,,,,,,,,,,,,
7,"from karel.stanfordkarel import *
""""""
Karel should fill the whole world with beepers.
""""""

def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
","from karel.stanfordkarel import *
# Karel should fill the world with beepers.

def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
",Small Change in the Comment,".python
from karel.stanfordkarel import *

# Karel should fill the world with beepers.
def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
",Small Change in the Comment,".python
from karel.stanfordkarel import *

# Karel should fill the world with beepers.
def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
",Small Change in the Comment,"from karel.stanfordkarel import *

# Karel should fill the world with beepers.
def main():
    # decomposition using a function name for
    # each associated activity
    while left_is_clear():
        fill_one_row()
        return_to_row_start()
        move_up()
    # rewrite code after while loop to overcome
    # fencepost bug
    fill_one_row()
",Small Change in the Comment,Karel,,,,,,,,,,,,
8,"from karel.stanfordkarel import *

def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()

def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
    for i in range(2):
        turn_left()

if __name__ == ""__main__"":
    main()
","from karel.stanfordkarel import *

def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()

def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
    for i in range(2):
        turn_left()
if __name__ == '__main__':
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()


def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    for i in range(2):
        turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()


def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    for i in range(2):
        turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    move()
    move()
    turn_right()
    move()
    turn_left()
    move()
    pick_beeper()
    return_home()


def return_home():
    turn_around()
    move()
    turn_right()
    move()
    turn_left()
    move()
    move()
    turn_around()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    for i in range(2):
        turn_left()


if __name__ == ""__main__"":
    main()
",No Change,Karel,,,,,,,,,,,,
9,"def main():
    vowel_count = 0
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    input_string = input(""Enter the string: "")
    input_string = input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count += 1
    print(vowel_count)

if __name__ == ""__main__"":
    main()
","def main():
    vowel_count=0
    vowels= ['a','e', 'i', 'o','u']
    input_string = input(""Enter the string:"")
    input_string = input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count +=1
    print(vowel_count)

if __name__ == '__main__':
    main()",No Change,"def main():
    vowel_count = 0
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    input_string = input(""Enter the string:"")
    input_string = input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count += 1
    print(vowel_count)


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    vowel_count = 0
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    input_string = input(""Enter the string:"")
    input_string = input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count += 1
    print(vowel_count)


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    vowel_count = 0
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    input_string = input(""Enter the string:"")
    input_string = input_string.lower()
    for char in input_string:
        for vowel in vowels:
            if char == vowel:
                vowel_count += 1
    print(vowel_count)


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
10,"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])
","def main():
    string = str(input('Enter string: '))
    for i in range((len(string)-1), -1, -1):
        print(string[i])
",No Change,"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])
",No Change,"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])
",No Change,"def main():
    string = str(input(""Enter string: ""))
    for i in range(len(string) - 1, -1, -1):
        print(string[i])
",No Change,Console,,,,,,,,,,,,
11,"seq = [1, 2, 3, 4, 5, 6, 7, 8, 9]
seq_even = []
# It check every element in list(sequence) --
for i in seq:
    # It decides whether an element from sequence is even ---
    if i % 2 == 0:
        seq_even.append(i)  # appends even i in empty list(seq_even)
print(seq_even)
","seq = [1, 2, 3, 4, 5, 6, 7, 8, 9]
seq_even = []
# It checks every element in list (sequence) --
for i in seg:
    # it decides whether an element from sequence is even --
    if i % 2 == 0:
        seq_even.append(i) # appends even ; in empty list (seq_even)
print(seq_even)
",No Change,"seq = [1, 2, 3, 4, 5, 6, 7, 8, 9]
seq_even = []
# It checks every element in list (sequence) - --
for i in seq:
    # it decides whether an element from sequence is even --.
    if i % 2 == 0:
        seq_even.append(i)  # appends even ; in empty list (seq_even)
print(seq_even)
",No Change,"seq = [1, 2, 3, 4, 5, 6, 7, 8, 9]
seq_even = []
# It checks every element in list (sequence) - --
for i in seq:
    # it decides whether an element from sequence is even --.
    if i % 2 == 0:
        seq_even.append(i)  # appends even ; in empty list (seq-even)
print(seq_even)
",No Change,"seq = [1, 2, 3, 4, 5, 6, 7, 8, 9]
seq_even = []
# It checks every element in list (sequence)
for i in seq:
    # it decides whether an element from sequence is even
    if i % 2 == 0:
        seq_even.append(i)  # appends even numbers in empty list (seq_even)
print(seq_even)
",No Change,Console,,,,,,,,,,,,
12,"from graphics import Canvas
CANVAS_WIDTH = 300
CANVAS_HEIGHT = 300
CIRCLE_SIZE = 20
DELAY = 0.01

def main:
    canvas = Canvas(CANVAS_WIDTH, CANVAS_HEIGHT)
    while TRUE
        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        if mouse_x >= 0 and mouse_x <= CANVAS_WIDTH and mouse_y >=0 and mouse_y <= CANVAS_HEIGHT
","from graphics import Canvas
canvas_width = 300
canvas_height = 300
circle_size = 20
delay = 0.01

def main():
    canvas = Canvas(canvas_width, canvas_height)
    while True:
        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        if mouse_x >= 0 and mouse_x <= canvas_width and mouse_y >= 0 and mouse_y <= canvas_height:
",No Change,"from graphics import Canvas

canvas_width = 300
canvas_height = 300
circle_size = 20
delay = 0.01


def main():
    canvas = Canvas(canvas_width, canvas_height)
    while True:
        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        if (
            mouse_x >= 0
            and mouse_x <= canvas_width
            and mouse_y >= 0
            and mouse_y <= canvas_height
        ):
            pass
",Added code that was not present,"from graphics import Canvas

canvas_width = 300
canvas_height = 300
circle_size = 20
delay = 0.01


def main():
    canvas = Canvas(canvas_width, canvas_height)
    while True:
        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        if (
            mouse_x >= 0
            and mouse_x <= canvas_width
            and mouse_y >= 0
            and mouse_y <= canvas_height
        ):
            pass
",Added code that was not present,"from graphics import Canvas

canvas_width = 300
canvas_height = 300
circle_size = 20
delay = 0.01


def main():
    canvas = Canvas(canvas_width, canvas_height)
    while True:
        mouse_x = canvas.get_mouse_x()
        mouse_y = canvas.get_mouse_y()
        if (
            mouse_x >= 0
            and mouse_x <= canvas_width
            and mouse_y >= 0
            and mouse_y <= canvas_height
        ):
            pass
",Added code that was not present,Graphics,,,,,,,,,,,,
13,"# 1 karel Problem - karel Home
from karel.stanfordkarel import *
# This program defines a main function which should make Karel
# move to the beeper, pick it up and return home.

def main():
    get_out()
    pick_food()
    get_back_home()
# pre : karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper

def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()
# post: karel facing west, at the position of beeper

def pick_food():
    pick_beeper()
    turn_around()
# post: karel facing east, at the corner of starting position

def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
    turn_left()
    turn_left()

if __name__ == ""__main__"":
    main()
","# 1 karel Problem - Karel home
from Karel.Stanfordkarel import*
# This program defines a main function which should make karel
# move to the beeper, pick it up and return home

def main():
    get_Out()
    pick_food()
    get_back_home()
# pre: Karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper

def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()
# post: Karel facing west, at the position of beeper

def pick_food():
    pick_beeper()
    turn_around()
# post: Karel facing east, at the corner of starting position

def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()

def turn_right():
    for i in range(3):
        turn_left()

def turn_around():
    turn_left()
    turn_left()

if __name__ == ""__main__"":
    main()
",No Change,"# 1 karel Problem - Karel home
from karel.stanfordkarel import *

# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main():
    get_out()
    pick_food()
    get_back_home()


# pre: Karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper
def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()


# post: Karel facing west, at the position of beeper
def pick_food():
    pick_beeper()
    turn_around()


# post: Karel facing east, at the corner of starting position
def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    turn_left()
    turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"# 1 karel Problem - Karel home
from karel.stanfordkarel import *

# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main():
    get_out()
    pick_food()
    get_back_home()


# pre: Karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper
def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()


# post: Karel facing west, at the position of beeper
def pick_food():
    pick_beeper()
    turn_around()


# post: Karel facing east, at the corner of starting position
def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    turn_left()
    turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"# Karel Problem - Karel home
from karel.stanfordkarel import *

# This program defines a main function which should make karel
# move to the beeper, pick it up and return home
def main():
    get_out()
    pick_food()
    get_back_home()


# pre: Karel facing east, at the corner of starting position
# post: karel facing east, outside the home, at the position of beeper
def get_out():
    turn_right()
    move()
    turn_left()
    move()
    move()
    move()


# post: Karel facing west, at the position of beeper
def pick_food():
    pick_beeper()
    turn_around()


# post: Karel facing east, at the corner of starting position
def get_back_home():
    move()
    move()
    move()
    turn_right()
    move()
    turn_right()


def turn_right():
    for i in range(3):
        turn_left()


def turn_around():
    turn_left()
    turn_left()


if __name__ == ""__main__"":
    main()
",No Change,Karel,,,,,,,,,,,,
14,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)
print(factorial(5))
","def factorial(n):
    if n = 0:
        return 1
    else:
        return 1 * factorial(n-1)
print(factorial(5))
",No Change,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)


print(factorial(5))
",No Change,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)


print(factorial(5))
",No Change,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1)


print(factorial(5))
",No Change,Console,,,,,,,,,,,,
15,"def main():
    list1 = [1, 2, 3, 4]
    list2 = [3, 4, 5, 6]
    list = []
    for elem1 in list1:
        for elem2 in list2:
            if elem1 == elem2:
                elem = elem1
                list.append(elem)
    print(list)
","def main():
    list1 = [1, 2, 3, 4]
    list2 = [3, 4, 5, 6]
    List = []
    for elem1 in list1:
        for elem2 in list2:
            if elem1 == elem2:
                elem = elem2
                List.append(elem)
    print(ist)
",Small Variable/Function Name Change,"def main():
    list1 = [1, 2, 3, 4]
    list2 = [3, 4, 5, 6]
    List = []
    for elem1 in list1:
        for elem2 in list2:
            if elem1 == elem2:
                List.append(elem2)
    print(List)


main()
",Small Variable/Function Name Change,"def main():
    list1 = [1, 2, 3, 4]
    list2 = [3, 4, 5, 6]
    List = []
    for elem1 in list1:
        for elem2 in list2:
            if elem1 == elem2:
                elem = elem2
                List.append(elem)
    print(List)


main()
",Small Variable/Function Name Change,"def main():
    list1 = [1, 2, 3, 4]
    list2 = [3, 4, 5, 6]
    List = []
    for elem1 in list1:
        for elem2 in list2:
            if elem1 == elem2:
                List.append(elem2)
    print(List)


main()
",Small Variable/Function Name Change,Console,,,,,,,,,,,,
16,"String = input()
print(String[::-1])
","String = input()
print(String[::-1])
",No Change,"String = input()
print(String[::-1])
",No Change,"String = input()
print(String[::-1])
",No Change,"String = input()
print(String[::-1])
",No Change,Console,,,,,,,,,,,,
