Data Id,Ground Truth,Azure Double Prompting,Change Category Double Prompting,Azure LM Low,Change Category Low,Azure LM Medium,Change Category Medium,Azure LM High,Change Category High,Code Type,,,,Categories:,,,,,,,,
17,"from karel.stanfordkarel import *

def main():
    turn_left()
    tower_N()
    tower_S()
    move_4x()
    turn_left()
    tower_N()
    tower_S()

def tower_S():
    turn_3x()
    tower()
    turn_left()

def tower_N():
    tower()
    turn_3x()
    move_4x()

def tower():
    for i in range(5):
        if front_is_clear():
            put_beeper()
            move()
        else:
            put_beeper()

def turn_3x():
    turn_left()
    turn_left()
    turn_left()

def move_4x():
    move()
    move()
    move()
    move()

if __name__ == ""__main__"":
    main()
","from Karel.StanfordKarel import *

def main():
    turn_left()
    tower_N()
    tower_SC()
    move_4x()
    turn_left()
    tower_N()
    tower_SC()
    del tower_s():
    turn_3x()
    Tower()
    turn_left()
    del tower_NC().
    Tower()
    turn_3x()
    move_4x()
    del tower():
    for i in range(5):
        if front_is_clear():
            put_beeper()
            move()
        else:
            put_beeper()

def turn_3x():
    turn_left()
    turn_left()
    turn_left()

def move_4x():
    move()
    move()
    move()
    move()

if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    turn_left()
    tower_N()
    tower_SC()
    move_4x()
    turn_left()
    tower_N()
    tower_SC()
    del tower_s()
    turn_3x()
    Tower()
    turn_left()
    del tower_NC()
    Tower()
    turn_3x()
    move_4x()
    del tower()
    for i in range(5):
        if front_is_clear():
            put_beeper()
            move()
        else:
            put_beeper()


def turn_3x():
    turn_left()
    turn_left()
    turn_left()


def move_4x():
    move()
    move()
    move()
    move()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    turn_left()
    tower_N()
    tower_SC()
    move_4x()
    turn_left()
    tower_N()
    tower_SC()
    del tower_s()
    turn_3x()
    Tower()
    turn_left()
    del tower_NC()
    Tower()
    turn_3x()
    move_4x()
    del tower()
    for i in range(5):
        if front_is_clear():
            put_beeper()
            move()
        else:
            put_beeper()


def turn_3x():
    turn_left()
    turn_left()
    turn_left()


def move_4x():
    move()
    move()
    move()
    move()


if __name__ == ""__main__"":
    main()
",No Change,"from karel.stanfordkarel import *


def main():
    turn_left()
    tower_N()
    tower_SC()
    move_4x()
    turn_left()
    tower_N()
    tower_SC()
    turn_3x()
    Tower()
    turn_left()
    tower_NC()
    Tower()
    turn_3x()
    move_4x()
    tower()
    for i in range(5):
        if front_is_clear():
            put_beeper()
            move()
        else:
            put_beeper()


def turn_3x():
    turn_left()
    turn_left()
    turn_left()


def move_4x():
    move()
    move()
    move()
    move()


if __name__ == ""__main__"":
    main()
",No Change,Karel,,,,,,,,,,,,
18,"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])

if __name__ == ""__main__"":
    main()
","def main ():
    String = str (input (""Enter string: ""))
    for i in range ((len (String) -1) ,- 1 ,- 1):
        print (String [i])
if __name__ == '__main__':
    main ()
",No Change,"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    string = str(input(""Enter string: ""))
    for i in range((len(string) - 1), -1, -1):
        print(string[i])


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    string = str(input(""Enter string: ""))
    for i in range(len(string) - 1, -1, -1):
        print(string[i])


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
19,"def main():
    num = int(input(""Enter a number: ""))
    print(f""{num} is {'prime' if is_prime(num) else 'not prime'}"")

def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    for i in range(5, int(n**0.5) + 1, 6):
        if n % i == 0 or n % (i + 2) == 0:
            return False
    return True

if __name__ == ""__main__"":
    main()
","def main():
    num = int(input(""Enter a num: ""))
    print(f""Num is prime"" if is_prime(num) else ""Num is not prime"")

def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    for i in range(5, int(n**0.5) + 1, 6):
        if n % i == 0 or n % (i + 2) == 0:
            return False
    return True

if __name__ == ""__main__"":
    main()
",Small Syntax Fix,"def main():
    num = int(input(""Enter a num: ""))
    if is_prime(num):
        print(f""Num is prime"")
    else:
        print(""Num is not prime"")


def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True


if __name__ == ""__main__"":
    main()
",Small Syntax Fix,"def main():
    num = int(input(""Enter a num: ""))
    if is_prime(num):
        print(f""Num is prime"")
    else:
        print(""Num is not prime"")


def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    for i in range(5, int(n**0.5) + 1, 6):
        if n % i == 0 or n % (i + 2) == 0:
            return False
    return True


if __name__ == ""__main__"":
    main()
",Small Syntax Fix,"def main():
    num = int(input(""Enter a num: ""))
    if is_prime(num):
        print(f""Num is prime"")
    else:
        print(""Num is not prime"")


def is_prime(n):
    if n <= 1:
        return False
    elif n <= 3:
        return True
    elif n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True


if __name__ == ""__main__"":
    main()
",Small Syntax Fix,Console,,,,,,,,,,,,
20,"from karel.stanfordkarel import *

def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
    turn_right()
    fill_row()
    return_to_home()
    while front_is_clear():
        move()

def fill_row():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
","from karel.stanfordkarel import *

def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
        turn_right()
        fill_row()
        return_to_home()
    while front_is_clear():
        move()

    def fill_row():
        while front_is_clear():
            put_beeper()
            move()
        put_beeper()
",Small Change in the Indentation,"from karel.stanfordkarel import *


def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
        turn_right()
        fill_row()
        return_to_home()
    while front_is_clear():
        move()

    def fill_row():
        while front_is_clear():
            put_beeper()
            move()
        put_beeper()
",Small Change in the Indentation,"from karel.stamfordkarel import *


def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
        turn_right()
        fill_row()
        return_to_home()
    while front_is_clear():
        move()

    def fill_row():
        while front_is_clear():
            put_beeper()
            move()
        put_beeper()
",Small Change in the Indentation,"from karel.stanfordkarel import *


def main():
    turn_left()
    while front_is_clear():
        turn_right()
        fill_row()
        return_to_home()
        jump_row()
        turn_right()
        fill_row()
        return_to_home()
    while front_is_clear():
        move()


def fill_row():
    while front_is_clear():
        put_beeper()
        move()
    put_beeper()
",Small Change in the Indentation,Karel,,,,,,,,,,,,
21,"from stanfordkarel import *
""""""
Karel should fill the whole world with beepers.
""""""

def main():
    """"""
    You should write your code to make Karel do its task in
    this function. Make sure to delete the 'pass' line before
    starting to write your own code. You should also delete this
    comment and replace it with a better, more descriptive one.
    """"""
    while not left_is_blocked():
        put_beeper_Line()
        reset_Position()
    put_beeper_Line()

def put_beeper_Line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
","from stanfordkarel import *
# Karel should fill the whole world with beepers.

def main():
    # You should write your code to make Karel do its task in this function.
    # Make sure to delete the 'pass' line before starting to write your own code. 
    # You should also delete this comment and replace it with a better, more descriptive one.
    while not left_is_blocked():
        put_beeper_line()
        reset_position()
        put_beeper_line()

def put_beeper_line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
",Small Change in the Comment,"from stanfordkarel import *

# Karel should fill the whole world with beepers.


def main():
    # You should write your code to make Karel do its task in this function.
    # Make sure to delete the 'pass' line before starting to write your own code.
    # You should also delete this comment and replace it with a better, more descriptive one.

    while not left_is_blocked():
        put_beeper_line()
        reset_position()
        put_beeper_line()


def put_beeper_line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
",Small Change in the Comment,"from stanfordkarel import *

# Karel should fill the whole world with beepers.


def main():
    # You should write your code to make Karel do its task in this function.
    # Make sure to delete the 'pass' line before starting to write your own code.
    # You should also delete this comment and replace it with a better more descriptive one.

    while not left_is_blocked():
        put_beeper_line()
        reset_position()
        put_beeper_line()


def put_beeper_line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
",Small Change in the Comment,"from stanfordkarel import *

# Karel should fill the whole world with beepers.
def main():
    # You should write your code to make Karel do its task in this function.
    # Make sure to delete the 'pass' line before starting to write your own code.
    # You should also delete this comment and replace it with a better, more descriptive one.
    while not left_is_blocked():
        put_beeper_line()
        reset_position()
        put_beeper_line()


def put_beeper_line():
    put_beeper()
    while front_is_clear():
        move()
        put_beeper()
",Small Change in the Comment,Karel,,,,,,,,,,,,
22,"#karel needs to move to the bottom of the next arch to commence 
#building the next column.
#precondition: karel is facing east
#post condition: karel is still facing east at the next column site.

def move_to_next_arch_bottom():
    if front_is_clear():
        for i in range(4):
            move()""

def turn_around():
    turn_left()
    turn_left()
if __name__ == '__main__':
    main()
","#karel needs to move to the bottom of the next notch to com
#Hence building the next column.
# Precondition: Karel is facing east
# post-condition: Karel is facing east at the next column site.

def move_to_next_notch_bottom():
if front_is_clear():
for i in range(4):
move()

def turn_around():
turn_left()
turn_left()

if __name__ == ""__main__"":
main()
",Small Change in the Indentation,"# Karel needs to move to the bottom of the next notch to come
# Hence building the next column.
# Precondition: Karel is facing east
# post-condition: Karel is facing east at the next column site.
def move_to_next_arch_bottom():
    if front_is_clear():
        for i in range(4):
            move()


def turn_around():
    turn_left()
    turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"# Karel needs to move to the bottom of the next notch to come
# Hence building the next column.
# Precondition: Karel is facing east
# post-condition: Karel is facing east at the next column site.
def move_to_next_arch_bottom():
    if front_is_clear():
        for i in range(4):
            move()


def turn_around():
    turn_left()
    turn_left()


if __name__ == ""__main__"":
    main()
",No Change,"# Karel needs to move to the bottom of the next notch to come
# Hence building the next column.
# Precondition: Karel is facing east
# post-condition: Karel is facing east at the next column site.
def move_to_next_arch_bottom():
    if front_is_clear():
        for i in range(4):
            move()


def turn_around():
    turn_left()
    turn_left()


if __name__ == ""__main__"":
    main()
",No Change,Karel,,,,,,,,,,,,
23,"def find_lrgst_smallst(number):
    if not numbers:
        return none
    smallest = largest = number[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest
# Example Usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
result = find_lrgst_smallst(numbers)
print(result)
","def find_Ligst_smallst(number):
    if not numbers:
        Return none
    Smallest=largest = number[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > Largest:
            Largest = num
    return smallest, Largest
# Example usage:
numbers = [1,2,3, 4,5,6,7,8,9]
result = find_Ligst_smallst(numbers)
print(result)
",Small Variable/Function Name Change,"def find_largest_smallest(numbers):
    if not numbers:
        return None
    smallest = largest = numbers[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest


# Example usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
result = find_largest_smallest(numbers)
print(result)
",Small Variable/Function Name Change,"def find_largest_smallest(numbers):
    if not numbers:
        return None
    smallest = largest = numbers[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest


# Example usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
result = find_largest_smallest(numbers)
print(result)
",Small Variable/Function Name Change,"def find_largest_smallest(numbers):
    if not numbers:
        return None
    smallest = largest = numbers[0]
    for num in numbers:
        if num < smallest:
            smallest = num
        if num > largest:
            largest = num
    return smallest, largest


# Example usage:
numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
result = find_largest_smallest(numbers)
print(result)
",Small Variable/Function Name Change,Console,,,,,,,,,,,,
24,"def main():
    user_number = input(""Enter the number: "")
    result = sum_of_digits(user_number)
    print(""The Sum of the Digits is: "", result)

def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum

if __name__ == ""__main__"":
    main()
","def main():
    user_number = input (""Enter the number: "")
    result = sum_of_digits (user_number )
    print (""The sum of the digits is "", result)

def Sum_of_digits (user_number):
    number_str = Str (user_number)
    digit_sum=0
    for digit in number_str:
        digit_sum += int (digit)
    return digit_sum
if _name_ == ""_main_"":
    main()
",No Change,"def main():
    user_number = input(""Enter the number:\n"")
    result = sum_of_digits(user_number)
    print(""The sum of the digits is "", result)


def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    user_number = input(""Enter the number:\n"")
    result = sum_of_digits(user_number)
    print(""The sum of the digits is "", result)


def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum


if __name__ == ""__main__"":
    main()
",No Change,"def main():
    user_number = input(""Enter the number:\n"")
    result = sum_of_digits(user_number)
    print(""The sum of the digits is "", result)


def sum_of_digits(user_number):
    number_str = str(user_number)
    digit_sum = 0
    for digit in number_str:
        digit_sum += int(digit)
    return digit_sum


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
25,"def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise.
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")

if __name__ == ""__main__"":
    main()
","def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n*0.5)+1):
        if n % i == 0:
            return False
    return True

def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, "" is a prime number."")
    else:
        print(n, ""is not a prime number."")

if __name__ == ""__main__"":
    main()
",No Change,"def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n * 0.5) + 1):
        if n % i == 0:
            return False
    return True


def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")


if __name__ == ""__main__"":
    main()
",No Change,"def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n * 0.5) + 1):
        if n % i == 0:
            return False
    return True


def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")


if __name__ == ""__main__"":
    main()
",No Change,"def is_prime(n):
    """"""
    Returns True if n is prime, False otherwise
    """"""
    if n <= 1:
        return False
    for i in range(2, int(n * 0.5) + 1):
        if n % i == 0:
            return False
    return True


def main():
    """"""
    The main function.
    """"""
    n = int(input(""Enter a number: ""))
    if is_prime(n):
        print(n, ""is a prime number."")
    else:
        print(n, ""is not a prime number."")


if __name__ == ""__main__"":
    main()
",No Change,Console,,,,,,,,,,,,
26,"# Reverse String

def main():
    str = input(""Input a string: "")
    r_str = """"
    for i in str:
        r_str = i + r_str
    print(r_str)

if __name__ == ""__main__"":
    main()
","#Reverse String

def main():
    str = input(""Input a string: "")
    r_str= """"
    for i in str:
        r_str = i + r_str
    print(r_str)

if __name__ == ""__main__"":
    main()
",No Change,"# Reverse String
def main():
    str = input(""Input a string: "")
    r_str = """"
    for i in str:
        r_str = i + r_str
    print(r_str)


if __name__ == ""__main__"":
    main()
",No Change,"# Reverse String
def main():
    str = input(""Input a string: "")
    rev_str = """"
    for i in str:
        rev_str = i + rev_str
    print(rev_str)


if __name__ == ""__main__"":
    main()
",Small Variable/Function Name Change,"# Reverse String
def main():
    str = input(""Input a string: "")
    rev_str = """"
    for i in str:
        rev_str = i + rev_str
    print(rev_str)


if __name__ == ""__main__"":
    main()
",Small Variable/Function Name Change,Console,,,,,,,,,,,,
27,"# Write a Python program to find the longest word in a given text

def main():
    sentence = input(""Input a sentence: "")
    list = sentence.split()
    l_word = """"
    for word in list:
        if len(word) > len(l_word):
            l_word = word
    print(l_word)

if __name__ == ""__main__"":
    main()
","# Write a Python program to find the longest word i'm a given text

def main ():
    sentence = input (""Input a sentence: "")
    list = sentence. split ( )
    Lword = """"
    for word in list:
        if len (word) > len (Lword):
            Lword = word
    print (Lword)

if __name__ == ""__main__"":
    main ()
",Small Variable/Function Name Change,"# Write a Python program to find the longest word in a given text
def main():
    sentence = input(""Input a sentence: "")
    list = sentence.split()
    Lword = """"
    for word in list:
        if len(word) > len(Lword):
            Lword = word
    print(Lword)


if __name__ == ""__main__"":
    main()
",Small Variable/Function Name Change,"# Write a Python program to find the longest word in a given text
def main():
    sentence = input(""Input a sentence: "")
    list_words = sentence.split()
    l_word = """"
    for word in list_words:
        if len(word) > len(l_word):
            l_word = word
    print(l_word)


if __name__ == ""__main__"":
    main()
",Small Variable/Function Name Change,"# Write a Python program to find the longest word in a given text
def main():
    sentence = input(""Input a sentence: "")
    words_list = sentence.split()
    longest_word = """"
    for word in words_list:
        if len(word) > len(longest_word):
            longest_word = word
    print(longest_word)


if __name__ == ""__main__"":
    main()
",Small Variable/Function Name Change,Console,,,,,,,,,,,,
28,"def greatest_common_divisor(a, b):
    smaller_number = a if a < b else b
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if a % i == 0 and b % i == 0:
            common_divisor.append(i)
    return common_divisor[-1]
","def greatest_common_divisor(a, b):
    smaller_number = a if a < b else 10
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if 9 % i == 0 and 6 % i == 0:
            common_divisor.append(i)
    return common_divisor[-1]
",No Change,"def greatest_common_divisor(a, b):
    smaller_number = a if a < b else b
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if a % i == 0 and b % i == 0:
            common_divisor.append(i)
    return common_divisor[-1]
",No Change,"def greatest_common_divisor(a, b):
    smaller_number = a if a < b else b
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if a % i == 0 and b % i == 0:
            common_divisor.append(i)
    return common_divisor[-1]
",No Change,"def greatest_common_divisor(a, b):
    smaller_number = a if a < b else b
    common_divisor = []
    for i in range(1, smaller_number + 1):
        if a % i == 0 and b % i == 0:
            common_divisor.append(i)
    return common_divisor[-1]
",No Change,Console,,,,,,,,,,,,
29,"def main():
    """"""
    The program should determine whether the given year is a leap year
    (divisible by 4, divisible by 100 but also by 400).
    """"""
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()

def identify_a_leap_year():
    print(""Please input a year below(in number form)."")
    Year = int(input(""Year : ""))
    print("" "")
    if (Year % 4 == 0) or (Year % 100 == 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" "" + ""is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" "" + ""is not a leap year."")

def ask_for_a_new_year_to_identify():
    while True:
        print("" "")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        elif ask != ""Yes"" or ask != ""yes"" or ask != ""No"" or ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")

if __name__ == ""__main__"":
    main()
","def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("""")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()

def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("""")
    if (Year % 4 == 0) or (Year % 100 == 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")

def ask_for_a_new_year_to_identify():
    while True:
        print("""")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("""")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        else:
            print(""Wrong keyword. Please type the exact keyword."")

if __name__ == ""__main__"":
    main()
",Small Change in the Comment,"def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()


def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("" "")
    if (Year % 4 == 0) and (Year % 100 != 0 or Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")


def ask_for_a_new_year_to_identify():
    while True:
        print("" "")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        elif ask != ""Yes"" and ask != ""yes"" and ask != ""No"" and ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")


if __name__ == ""__main__"":
    main()
",Logical Fix,"def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("" "")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()


def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("" "")
    if (Year % 4 == 0) or (Year % 100 == 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")


def ask_for_a_new_year_to_identify():
    while True:
        print("" "")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("" "")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
        elif ask != ""Yes"" and ask != ""yes"" and ask != ""No"" and ask != ""no"":
            print(""Wrong keyword. Please type the exact keyword."")


if __name__ == ""__main__"":
    main()
",Small Change in the Comment,"def main():
    # The program should determine whether the given year is a leap year
    # (divisible by 4, divisible by 100 but also by 400).
    print(""This program will help you identify if a given year is a leap year or not."")
    print("""")
    identify_a_leap_year()
    ask_for_a_new_year_to_identify()


def identify_a_leap_year():
    print(""Please input a year below (in number form)."")
    Year = int(input(""Year: ""))
    print("""")
    if (Year % 4 == 0 and Year % 100 != 0) or (Year % 400 == 0):
        print(""The Year "" + str(Year) + "" is a leap year."")
    else:
        print(""The Year "" + str(Year) + "" is not a leap year."")


def ask_for_a_new_year_to_identify():
    while True:
        print("""")
        ask = input(""Do you want to identify a new year? Yes/No: "")
        print("""")
        if ask == ""Yes"" or ask == ""yes"":
            identify_a_leap_year()
        elif ask == ""No"" or ask == ""no"":
            print(""Thank you. See you again!"")
            break
